algorithm,seed,generation,best_fitness
GA,5,2,3919.455298422854
GA,5,3,3919.455298422854
GA,5,4,3919.455298422854
GA,5,5,3919.455298422854
GA,5,6,3878.635113795851
GA,5,7,3878.635113795851
GA,5,8,3878.635113795851
GA,5,9,3875.5039993340188
GA,5,10,3858.735054252088
GA,5,11,3855.603939790256
GA,5,12,3855.603939790256
GA,5,13,3609.437025406045
GA,5,14,3609.437025406045
GA,5,15,3549.026917610309
GA,5,16,3549.026917610309
GA,5,17,3549.026917610309
GA,5,18,3538.6396979393826
GA,5,19,3538.6396979393826
GA,5,20,3538.6396979393826
GA,5,21,3538.035897587176
GA,5,22,3536.3875517576826
GA,5,23,3534.5585185671325
GA,5,24,3492.382986197382
GA,5,25,3492.382986197382
GA,5,26,3490.408196299969
GA,5,27,3487.084291427061
GA,5,28,3455.120306656815
GA,5,29,3455.120306656815
GA,5,30,3452.9693118028476
GA,5,31,3452.9693118028476
GA,5,32,3442.7473770722254
GA,5,33,3442.7473770722254
GA,5,34,3270.243239326764
GA,5,35,3270.243239326764
GA,5,36,3270.243239326764
GA,5,37,3270.241180712823
GA,5,38,3270.241180712823
GA,5,39,3269.6093798024485
GA,5,40,3269.6093798024485
GA,5,41,3269.6093798024485
GA,5,42,3269.6093798024485
GA,5,43,3268.6246400125838
GA,5,44,3266.3979958368577
GA,5,45,3266.3979958368577
GA,5,46,3265.3244157563518
GA,5,47,3265.3244157563518
GA,5,48,3265.3244157563518
GA,5,49,3262.5617137361714
GA,6,0,4468.21424882432
GA,6,1,4468.21424882432
GA,6,2,4089.492343871952
GA,6,3,4072.5204944118964
GA,6,4,4072.5204944118964
GA,6,5,3863.170309035407
GA,6,6,3863.170309035407
GA,6,7,3863.170309035407
GA,6,8,3849.3656586056195
GA,6,9,3844.4347640703513
GA,6,10,3841.7256281800974
GA,6,11,3841.274770087855
GA,6,12,3841.274770087855
GA,6,13,3833.307033137787
GA,6,14,3830.528185742024
GA,6,15,3828.864733730646
GA,6,16,3826.668239079846
GA,6,17,3826.668239079846
GA,6,18,3826.668239079846
GA,6,19,3826.668239079846
GA,6,20,3826.668239079846
GA,6,21,3826.668239079846
GA,6,22,3826.668239079846
GA,6,23,3825.6214235307643
GA,6,24,3825.0999697023112
GA,6,25,3823.643980213798
GA,6,26,3823.643980213798
GA,6,27,3823.643980213798
GA,6,28,3823.643980213798
GA,6,29,3823.643980213798
GA,6,30,3823.643980213798
GA,6,31,3821.5174289774427
GA,6,32,3821.5174289774427
GA,6,33,3821.5174289774427
GA,6,34,3821.5174289774427
GA,6,35,3821.5174289774427
GA,6,36,3705.7610720698867
GA,6,37,3705.7610720698867
GA,6,38,3704.919825664814
GA,6,39,3704.919825664814
GA,6,40,3704.919825664814
GA,6,41,3704.919825664814
GA,6,42,3702.697935971251
GA,6,43,3701.3465902373864
GA,6,44,3700.6203164043354
GA,6,45,3663.597483212215
GA,6,46,3661.2969487889914
GA,6,47,3661.2969487889914
GA,6,48,3657.982929717592
GA,6,49,3657.256655884541
GA,7,0,4651.350758947534
GA,7,1,4626.0326032298035
GA,7,2,4044.9187406680094
GA,7,3,4044.9187406680094
GA,7,4,3897.8917066334193
GA,7,5,3865.0913869757965
GA,7,6,3797.95015003451
GA,7,7,3792.9160162694698
GA,7,8,3782.657692749787
GA,7,9,3728.497769100688
GA,7,10,3702.8985081553724
GA,7,11,3702.276320690542
GA,7,12,3615.9680032089236
GA,7,13,3579.3542267665584
GA,7,14,3579.3542267665584
GA,7,15,3579.3542267665584
GA,7,16,3577.230887960471
GA,7,17,3574.631892991627
GA,7,18,3572.415957795076
GA,7,19,3572.415957795076
GA,7,20,3566.441128614788
GA,7,21,3562.390568261626
GA,7,22,3562.390568261626
GA,7,23,3562.390568261626
GA,7,24,3555.053970645894
GA,7,25,3554.069682772661
GA,7,26,3554.069682772661
GA,7,27,3547.5639467490323
GA,7,28,3547.5639467490323
GA,7,29,3544.2269198499134
GA,7,30,3541.688573379163
GA,7,31,3541.688573379163
GA,7,32,3541.688573379163
GA,7,33,3541.688573379163
GA,7,34,3541.688573379163
GA,7,35,3541.688573379163
GA,7,36,3541.688573379163
GA,7,37,3541.688573379163
GA,7,38,3541.688573379163
GA,7,39,3541.688573379163
GA,7,40,3541.688573379163
GA,7,41,3541.688573379163
GA,7,42,3541.688573379163
GA,7,43,3541.688573379163
GA,7,44,3541.688573379163
GA,7,45,3541.688573379163
GA,7,46,3541.688573379163
GA,7,47,3541.688573379163
GA,7,48,3541.688573379163
GA,7,49,3541.688573379163
GA,8,0,4209.695257307883
GA,8,1,3732.49232118351
GA,8,2,3680.051786412516
GA,8,3,3523.322845951724
GA,8,4,3523.322845951724
GA,8,5,3523.322845951724
GA,8,6,3523.322845951724
GA,8,7,3520.1010571457955
GA,8,8,3513.977835308575
GA,8,9,3513.977835308575
GA,8,10,3513.977835308575
GA,8,11,3499.7200682507937
GA,8,12,3499.7200682507937
GA,8,13,3484.3628856562104
GA,8,14,3484.3628856562104
GA,8,15,3480.061143284584
GA,8,16,3480.061143284584
GA,8,17,3476.7910367549975
GA,8,18,3476.7910367549975
GA,8,19,3368.7392098068967
GA,8,20,3368.7392098068967
GA,8,21,3368.7392098068967
GA,8,22,3368.7392098068967
GA,8,23,3366.1540378824034
GA,8,24,3366.1540378824034
GA,8,25,3366.1540378824034
GA,8,26,3366.1540378824034
GA,8,27,3366.1540378824034
GA,8,28,3363.0190565923112
GA,8,29,3363.0190565923112
GA,8,30,3363.0190565923112
GA,8,31,3363.0190565923112
GA,8,32,3363.0190565923112
GA,8,33,3363.0190565923112
GA,8,34,3363.0190565923112
GA,8,35,3363.0190565923112
GA,8,36,3355.9582878962524
GA,8,37,3355.9582878962524
GA,8,38,3355.9582878962524
GA,8,39,3355.6786839952288
GA,8,40,3355.6786839952288
GA,8,41,3355.6786839952288
GA,8,42,3355.6786839952288
GA,8,43,3355.6786839952288
GA,8,44,3355.6786839952288
GA,8,45,3355.6786839952288
GA,8,46,3355.6786839952288
GA,8,47,3355.6786839952288
GA,8,48,3355.6786839952288
GA,8,49,3355.6786839952288
GA,9,0,3594.8495667734983
GA,9,1,3583.5175415435474
GA,9,2,3583.5175415435474
GA,9,3,3576.2985236168915
GA,9,4,3576.2985236168915
GA,9,5,3573.435130861252
GA,9,6,3573.435130861252
GA,9,7,3573.435130861252
GA,9,8,3573.435130861252
GA,9,9,3573.435130861252
GA,9,10,3569.7201255304653
GA,9,11,3569.7201255304653
GA,9,12,3569.7201255304653
GA,9,13,3565.6345119995076
GA,9,14,3565.6345119995076
GA,9,15,3565.6345119995076
GA,9,16,3466.038250011845
GA,9,17,3466.038250011845
GA,9,18,3466.038250011845
GA,9,19,3466.038250011845
GA,9,20,3466.038250011845
GA,9,21,3455.4800152699895
GA,9,22,3454.528713552074
GA,9,23,3454.528713552074
GA,9,24,3451.9807148371683
GA,9,25,3451.9349582729646
GA,9,26,3443.2867482949414
GA,9,27,3443.2867482949414
GA,9,28,3443.2867482949414
GA,9,29,3443.2127070668466
GA,9,30,3443.2127070668466
GA,9,31,3442.0015997614996
GA,9,32,3442.0015997614996
GA,9,33,3442.0015997614996
GA,9,34,3439.994563626499
GA,9,35,3439.994563626499
GA,9,36,3439.994563626499
GA,9,37,3439.994563626499
GA,9,38,3439.8009169027077
GA,9,39,3439.8009169027077
GA,9,40,3439.6622187569
GA,9,41,3435.2962003539988
GA,9,42,3435.2962003539988
GA,9,43,3435.2962003539988
GA,9,44,3435.2962003539988
GA,9,45,3435.2962003539988
GA,9,46,3434.366060093817
GA,9,47,3434.366060093817
GA,9,48,3434.366060093817
GA,9,49,3434.366060093817
SA,0,0,6039.186352619705
SA,0,1,4833.165672059558
SA,0,2,4451.121258418924
SA,0,3,4421.055235245247
SA,0,4,4414.244385296714
SA,0,5,4414.244385296714
SA,0,6,4101.837621277479
SA,0,7,4101.837621277479
SA,0,8,3952.2168475372523
SA,0,9,3940.8376335974635
SA,0,10,3565.8701035452987
SA,0,11,3460.2943629743595
SA,0,12,3436.173708894492
SA,0,13,3436.136144635951
SA,0,14,3435.4925724921018
SA,0,15,3435.4925724921018
SA,0,16,3435.4925724921018
SA,0,17,3435.0606599121406
SA,0,18,3435.0606599121406
SA,0,19,3435.0606599121406
SA,0,20,3432.4358773994477
SA,0,21,3432.4358773994477
SA,0,22,3432.4358773994477
SA,0,23,3432.4358773994477
SA,0,24,3432.4358773994477
SA,0,25,3432.4358773994477
SA,0,26,3432.4358773994477
SA,0,27,3432.4358773994477
SA,0,28,3432.4358773994477
SA,0,29,3432.4358773994477
SA,0,30,3413.7995391191885
SA,0,31,3413.7995391191885
SA,0,32,3413.7318834156367
SA,0,33,3373.3455773784453
SA,0,34,3348.3203705714827
SA,0,35,3348.3203705714827
SA,0,36,3348.3203705714827
SA,0,37,3347.0830881033326
SA,0,38,3347.0830881033326
SA,0,39,3347.0830881033326
SA,0,40,3347.0830881033326
SA,0,41,3347.0830881033326
SA,0,42,3341.391075479782
SA,0,43,3341.391075479782
SA,0,44,3341.391075479782
SA,0,45,3341.391075479782
SA,0,46,3341.391075479782
SA,0,47,3341.391075479782
SA,0,48,3341.391075479782
SA,0,49,3341.391075479782
SA,1,0,4152.201741575993
SA,1,1,4138.849680696367
SA,1,2,4133.956301780567
SA,1,3,4133.956301780567
SA,1,4,4133.956301780567
SA,1,5,4133.956301780567
SA,1,6,3980.057414578693
SA,1,7,3699.6016690011875
SA,1,8,3693.1085096204456
SA,1,9,3693.1085096204456
SA,1,10,3691.3977725158156
SA,1,11,3690.1675869326195
SA,1,12,3690.1675869326195
SA,1,13,3633.306713445797
SA,1,14,3633.306713445797
SA,1,15,3633.306713445797
SA,1,16,3590.4853490033165
SA,1,17,3583.0675058584657
SA,1,18,3573.6970919530722
SA,1,19,3573.102770445197
SA,1,20,3573.102770445197
SA,1,21,3573.102770445197
SA,1,22,3468.878721478275
SA,1,23,3466.0333721984653
SA,1,24,3466.0333721984653
SA,1,25,3466.0333721984653
SA,1,26,3466.0333721984653
SA,1,27,3466.0333721984653
SA,1,28,3466.0333721984653
SA,1,29,3466.0333721984653
SA,1,30,3466.0333721984653
SA,1,31,3423.6945607195485
SA,1,32,3423.6945607195485
SA,1,33,3423.6945607195485
SA,1,34,3423.6945607195485
SA,1,35,3423.6945607195485
SA,1,36,3423.6945607195485
SA,1,37,3423.6945607195485
SA,1,38,3421.371758623572
SA,1,39,3421.371758623572
SA,1,40,3420.9286844335834
SA,1,41,3393.596935779342
SA,1,42,3368.3625729611367
SA,1,43,3366.2066951338934
SA,1,44,3366.2066951338934
SA,1,45,3366.2066951338934
SA,1,46,3366.2066951338934
SA,1,47,3364.74004299922
SA,1,48,3364.74004299922
SA,1,49,3364.74004299922
SA,2,0,4017.473938274523
SA,2,1,3838.0376371669813
SA,2,2,3837.9522796771707
SA,2,3,3519.302725095061
SA,2,4,3494.5022064327486
SA,2,5,3494.5022064327486
SA,2,6,3488.4156797966516
SA,2,7,3488.4156797966516
