size,algorithm,seed,generation,best_fitness
small,GA,3,3,1295.7888844572055
small,GA,3,4,1295.7888844572055
small,GA,3,5,1187.212887469607
small,GA,3,6,1078.576220714268
small,GA,3,7,1078.576220714268
small,GA,3,8,1078.576220714268
small,GA,3,9,1078.576220714268
small,GA,3,10,970.0002237266694
small,GA,3,11,970.0002237266694
small,GA,3,12,970.0002237266694
small,GA,3,13,888.2709039845475
small,GA,3,14,888.2709039845475
small,GA,3,15,888.2709039845475
small,GA,3,16,732.8800635465282
small,GA,3,17,725.9741290647785
small,GA,3,18,725.9741290647785
small,GA,3,19,725.9741290647785
small,GA,3,20,725.9741290647785
small,GA,3,21,724.3698040616657
small,GA,3,22,724.3698040616657
small,GA,3,23,724.3698040616657
small,GA,3,24,724.3698040616657
small,GA,3,25,724.3698040616657
small,GA,3,26,724.3698040616657
small,GA,3,27,724.3698040616657
small,GA,3,28,724.3698040616657
small,GA,3,29,724.3698040616657
small,GA,3,30,724.3698040616657
small,GA,3,31,724.3698040616657
small,GA,3,32,724.3698040616657
small,GA,3,33,724.3698040616657
small,GA,3,34,724.3698040616657
small,GA,3,35,724.3698040616657
small,GA,3,36,724.3698040616657
small,GA,3,37,724.3698040616657
small,GA,3,38,724.3698040616657
small,GA,3,39,724.3698040616657
small,GA,3,40,724.3698040616657
small,GA,3,41,724.3698040616657
small,GA,3,42,724.3698040616657
small,GA,3,43,724.3698040616657
small,GA,3,44,724.3698040616657
small,GA,3,45,724.3698040616657
small,GA,3,46,724.3698040616657
small,GA,3,47,724.3698040616657
small,GA,3,48,724.3698040616657
small,GA,3,49,724.3698040616657
small,GA,4,0,1506.6389085151002
small,GA,4,1,1132.9230127245312
small,GA,4,2,976.3245367009264
small,GA,4,3,847.4718379087304
small,GA,4,4,847.4718379087304
small,GA,4,5,846.2103592018327
small,GA,4,6,837.3692290330029
small,GA,4,7,837.3692290330029
small,GA,4,8,837.3692290330029
small,GA,4,9,837.3692290330029
small,GA,4,10,837.3692290330029
small,GA,4,11,837.3692290330029
small,GA,4,12,837.3692290330029
small,GA,4,13,837.3692290330029
small,GA,4,14,837.3692290330029
small,GA,4,15,837.3692290330029
small,GA,4,16,837.3692290330029
small,GA,4,17,837.3692290330029
small,GA,4,18,837.3692290330029
small,GA,4,19,837.3692290330029
small,GA,4,20,837.3692290330029
small,GA,4,21,837.3692290330029
small,GA,4,22,837.3692290330029
small,GA,4,23,837.3692290330029
small,GA,4,24,837.3692290330029
small,GA,4,25,837.3692290330029
small,GA,4,26,837.3692290330029
small,GA,4,27,837.3692290330029
small,GA,4,28,837.3692290330029
small,GA,4,29,837.3692290330029
small,GA,4,30,837.3692290330029
small,GA,4,31,837.3692290330029
small,GA,4,32,837.3692290330029
small,GA,4,33,837.3692290330029
small,GA,4,34,837.3692290330029
small,GA,4,35,837.3692290330029
small,GA,4,36,837.3692290330029
small,GA,4,37,837.3692290330029
small,GA,4,38,837.3692290330029
small,GA,4,39,837.3692290330029
small,GA,4,40,837.3692290330029
small,GA,4,41,837.3692290330029
small,GA,4,42,837.3692290330029
small,GA,4,43,837.3692290330029
small,GA,4,44,837.3692290330029
small,GA,4,45,837.3692290330029
small,GA,4,46,837.3692290330029
small,GA,4,47,837.3692290330029
small,GA,4,48,785.5326856629997
small,GA,4,49,785.5326856629997
small,GA,5,0,1395.126349771655
small,GA,5,1,1395.126349771655
small,GA,5,2,984.2504799167948
small,GA,5,3,983.5933617148482
small,GA,5,4,983.5933617148482
small,GA,5,5,977.9302482480091
small,GA,5,6,977.9302482480091
small,GA,5,7,786.336751344602
small,GA,5,8,785.6796331426556
small,GA,5,9,785.6796331426556
small,GA,5,10,785.6796331426556
small,GA,5,11,785.6796331426556
small,GA,5,12,785.6796331426556
small,GA,5,13,785.6796331426556
small,GA,5,14,785.6796331426556
small,GA,5,15,785.6796331426556
small,GA,5,16,785.6796331426556
small,GA,5,17,770.864952913576
small,GA,5,18,770.864952913576
small,GA,5,19,770.864952913576
small,GA,5,20,770.864952913576
small,GA,5,21,770.864952913576
small,GA,5,22,692.6920192003275
small,GA,5,23,692.6920192003275
small,GA,5,24,692.6920192003275
small,GA,5,25,692.6920192003275
small,GA,5,26,692.6920192003275
small,GA,5,27,692.6920192003275
small,GA,5,28,692.6920192003275
small,GA,5,29,692.6920192003275
small,GA,5,30,692.6920192003275
small,GA,5,31,692.6920192003275
small,GA,5,32,692.6920192003275
small,GA,5,33,692.6920192003275
small,GA,5,34,691.5499603982513
small,GA,5,35,691.5499603982513
small,GA,5,36,691.5499603982513
small,GA,5,37,691.5499603982513
small,GA,5,38,691.4956339425245
small,GA,5,39,691.4956339425245
small,GA,5,40,691.4956339425245
small,GA,5,41,691.4956339425245
small,GA,5,42,691.4956339425245
small,GA,5,43,691.4956339425245
small,GA,5,44,691.4956339425245
small,GA,5,45,691.4956339425245
small,GA,5,46,691.4956339425245
small,GA,5,47,691.4956339425245
small,GA,5,48,691.4956339425245
small,GA,5,49,691.4956339425245
small,GA,6,0,1101.0714224446083
small,GA,6,1,1101.0714224446083
small,GA,6,2,1101.0714224446083
small,GA,6,3,1101.0714224446083
small,GA,6,4,1101.0714224446083
small,GA,6,5,1096.5621311826735
small,GA,6,6,977.5135783012247
small,GA,6,7,977.5135783012247
small,GA,6,8,977.5135783012247
small,GA,6,9,977.5135783012247
small,GA,6,10,977.5135783012247
small,GA,6,11,977.5135783012247
small,GA,6,12,977.5135783012247
small,GA,6,13,977.5135783012247
small,GA,6,14,977.5135783012247
small,GA,6,15,977.5135783012247
small,GA,6,16,977.5135783012247
small,GA,6,17,977.5135783012247
small,GA,6,18,977.5135783012247
small,GA,6,19,977.5135783012247
small,GA,6,20,977.5135783012247
small,GA,6,21,977.5135783012247
small,GA,6,22,977.5135783012247
small,GA,6,23,977.5135783012247
small,GA,6,24,977.5135783012247
small,GA,6,25,977.5135783012247
small,GA,6,26,977.5135783012247
small,GA,6,27,977.5135783012247
small,GA,6,28,977.5135783012247
small,GA,6,29,976.8021336435514
small,GA,6,30,976.8021336435514
small,GA,6,31,976.8021336435514
small,GA,6,32,976.8021336435514
small,GA,6,33,976.8021336435514
small,GA,6,34,976.8021336435514
small,GA,6,35,976.8021336435514
small,GA,6,36,976.8021336435514
small,GA,6,37,976.8021336435514
small,GA,6,38,976.8021336435514
small,GA,6,39,976.8021336435514
small,GA,6,40,976.8021336435514
small,GA,6,41,976.8021336435514
small,GA,6,42,976.8021336435514
small,GA,6,43,976.8021336435514
small,GA,6,44,976.8021336435514
small,GA,6,45,976.8021336435514
small,GA,6,46,976.8021336435514
small,GA,6,47,976.8021336435514
small,GA,6,48,976.8021336435514
small,GA,6,49,976.8021336435514
small,GA,7,0,1236.2931598694256
small,GA,7,1,1223.4850506084
small,GA,7,2,1148.0828552065668
small,GA,7,3,1148.0828552065668
small,GA,7,4,909.9741261410387
small,GA,7,5,909.9741261410387
small,GA,7,6,909.9741261410387
small,GA,7,7,909.9741261410387
small,GA,7,8,899.2372566365913
small,GA,7,9,899.2372566365913
small,GA,7,10,899.2372566365913
small,GA,7,11,899.2372566365913
small,GA,7,12,898.095197834515
