param,value,algorithm,seed,best_fitness,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
gamma_frac,0.3,Q2GA,4,1559.9281765205894,159.34989825829143,237.0336216241855,198.29909428055802,515.4754936250903,854.0078284229862,0.0,0
gamma_frac,0.4,GA,0,1567.358664173771,123.9108104757274,280.5393171926846,156.88820244791688,105.46655007461759,1284.397273213901,0.0,0
gamma_frac,0.4,GA,1,1188.6212538886948,123.9108104757274,280.75880948943416,167.76451365707513,105.46655007461759,903.4187529979682,0.0,0
gamma_frac,0.4,GA,2,2016.9142165468354,187.15939229421537,276.50836114831935,163.17960667651107,488.2252221364676,1319.520868583462,0.0,0
gamma_frac,0.4,GA,3,1752.2380564264058,177.55484159175816,235.94323833858368,167.96976730863568,475.56496413006386,1083.5187465371607,0.0,0
gamma_frac,0.4,GA,4,1880.0588695715446,99.08390052231209,240.67523576699563,180.8991073803891,33.021397569976045,1689.1131295342361,0.0,0
gamma_frac,0.4,SA,0,1495.945869768128,139.09990424806034,208.1479909198482,173.86508826332425,464.4390728694281,864.7394298460503,0.0,0
gamma_frac,0.4,SA,1,1026.2749289979238,99.08390052231209,230.05179731101111,164.1990466018801,0.0,874.8776302230883,0.0,0
gamma_frac,0.4,SA,2,1203.1378549955696,99.08390052231209,244.84709177866947,145.74731339064144,0.0,1050.9923145226844,0.0,0
gamma_frac,0.4,SA,3,1295.4869120833487,108.78825719325864,242.52316720361762,157.87033825230174,65.19275899061827,1071.5690066845555,0.0,0
gamma_frac,0.4,SA,4,1463.9009411315228,150.2235460958037,223.78634917819488,171.15909050113908,207.2439374521141,1080.1775077778204,0.0,0
gamma_frac,0.4,QGA,0,938.2955909336927,102.3122272550951,235.24824689049345,243.59221487251804,0.0,767.8465602644935,0.0,0
gamma_frac,0.4,QGA,1,1006.581039514503,102.3122272550951,231.4254520725221,258.6583155718705,30.060330748239892,804.2052964025848,0.0,0
gamma_frac,0.4,QGA,2,1392.8502861230256,126.67046234853312,206.60915744067734,184.75115542864032,154.4210078362586,1076.1610687945692,0.0,0
gamma_frac,0.4,QGA,3,1261.3998169655215,107.38508223268653,235.02846636770226,151.5312171740839,142.81846756741436,964.0740249366365,0.0,0
gamma_frac,0.4,QGA,4,1274.2396319190016,139.09990424806034,237.6538177284593,226.59349821028476,151.62572821339737,936.4491066209794,0.0,0
gamma_frac,0.4,Q2GA,0,1082.4356858543256,126.67046234853312,221.79109519219634,193.40413550721132,154.4210078362586,759.4612911846993,0.0,0
gamma_frac,0.4,Q2GA,1,1168.7594064275104,135.15096070060974,224.21993751654634,197.65412713821485,237.34756055076195,757.0395588438366,0.0,0
gamma_frac,0.4,Q2GA,2,1115.7467513209333,107.38508223268653,228.08164701611713,200.5355975750508,142.81846756741436,810.7041290173304,0.0,0
gamma_frac,0.4,Q2GA,3,1053.6191642914969,113.29497725904767,221.5877805270376,177.31722539634163,172.36794269922,722.6639537253734,0.0,0
gamma_frac,0.4,Q2GA,4,1644.5500918864773,160.0895087802353,235.17730840657006,197.942970531196,647.4268461264444,806.9367047417051,0.0,0
gamma_frac,0.5,GA,0,1625.971292540281,126.90207781931228,250.72333076461024,181.2764315008658,227.7586970247436,1223.289271076325,0.0,0
gamma_frac,0.5,GA,1,996.961507987411,100.71623522676046,238.0332019723849,179.31949263375597,0.0,839.3295312555641,0.0,0
gamma_frac,0.5,GA,2,2077.283185415029,187.93854359436384,283.6841098907513,173.74056911154696,545.0784916831766,1318.3820751451358,0.0,0
gamma_frac,0.5,GA,3,1558.6208811683673,100.71623522676046,243.78529964363435,205.56836189470638,0.0,1394.0135012829555,0.0,0
gamma_frac,0.5,GA,4,2147.848078317857,143.2101711840883,258.0563261307345,196.89666132247729,234.98475118639803,1724.462011435699,0.0,0
gamma_frac,0.5,SA,0,1346.1943061099537,126.67046234853312,257.03690573130007,157.68758636066167,312.8133446560307,861.3971412881342,0.0,0
gamma_frac,0.5,SA,1,851.7822655058256,99.08390052231209,227.8793529109046,165.40238702912526,0.0,700.7960319655732,0.0,0
gamma_frac,0.5,SA,2,1273.5802882143673,99.08390052231209,245.3323065347392,169.66715579053556,0.0,1116.5052148346824,0.0,0
gamma_frac,0.5,SA,3,1264.990959064004,102.13086954525293,245.09016253051786,165.48596890881797,31.905820750589804,1075.3954609998689,0.0,0
gamma_frac,0.5,SA,4,1413.2449217774604,126.99581085717885,228.8465487413491,152.9183559087628,288.00408223082206,962.5052983138916,0.0,0
gamma_frac,0.5,QGA,0,935.5009137019524,99.08390052231209,215.76711506098638,311.7201051477664,92.92331440684507,665.9614934861021,0.0,0
gamma_frac,0.5,QGA,1,958.0656383255548,100.71623522676046,240.06942056133275,248.69178974536413,0.0,785.9483365947019,0.0,0
gamma_frac,0.5,QGA,2,1327.2186958331426,117.25342282772172,230.59827233031893,149.43495090557653,72.17961183458911,1097.3459007044817,0.0,0
gamma_frac,0.5,QGA,3,1245.164845752612,99.08390052231209,234.38631922654395,174.85955964786888,118.28758929480216,972.0474984991168,0.0,0
gamma_frac,0.5,QGA,4,1236.4310750503614,104.35447499855935,250.21416600944096,322.9529172412962,42.841071086389846,1001.7579332136004,0.0,0
gamma_frac,0.5,Q2GA,0,1326.4830268500268,129.8907901768172,234.08867464508882,197.13575862542518,302.47897882901384,849.4048988139928,0.0,0
gamma_frac,0.5,Q2GA,1,951.793858038099,100.71623522676046,240.40886541840504,273.1473943405203,0.0,774.6836019310931,0.0,0
gamma_frac,0.5,Q2GA,2,1204.8346696937201,100.71623522676046,239.6104339863017,188.6983434739087,0.0,1044.8537531896677,0.0,0
gamma_frac,0.5,Q2GA,3,1015.9287978284492,114.06865081095405,233.25846910610167,188.6193610552972,82.72338312033582,768.4696763597464,0.0,0
gamma_frac,0.5,Q2GA,4,1092.525751335089,117.25342282772172,223.88446451212383,176.1925099081388,157.1515856871644,774.3436128987986,0.0,0
