algorithm,seed,best_fitness,runtime_s,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
QGA,6,3303.9654604182197,1.276789499912411,106.26804081724278,119.45298093132484,198.83389312413613,103.35299492035577,71.87577218501774,3000.0,0
QGA,7,3222.2962031484753,1.3568337000906467,97.21315810134877,150.21077249108123,185.18296659617107,27.532115087886275,64.05768394335615,3000.0,0
QGA,8,3359.534734326452,1.213478600140661,112.26012446420845,117.66193994295278,185.86062768600345,178.5878267346542,52.34613783960698,3000.0,0
QGA,9,3337.102156244114,1.2227779999375343,108.23039423241498,147.16851087127404,194.41415864350796,113.16476199621678,86.78881214160614,3000.0,0
Q2GA,0,3336.200174380288,3.080205200240016,108.23039423241498,128.21709472692575,189.49005119054993,113.16476199621678,92.55707661167583,3000.0,0
Q2GA,1,3203.5812526978652,2.7866790001280606,94.59006213036054,129.9654460052684,183.9380438437894,14.41663523294519,66.09234382940144,3000.0,0
Q2GA,2,3197.116308049058,2.4540252997539937,97.21315810134877,124.36604073462317,179.70766138265742,27.532115087886275,47.726269413578805,3000.0,0
Q2GA,3,3202.0634040177206,2.3507968997582793,94.59006213036054,125.27435177412343,162.55070612502863,14.41663523294519,70.25929096235221,3000.0,0
Q2GA,4,3214.5942326634404,2.570776299573481,97.21315810134877,110.62688393319962,211.6344278695797,27.532115087886275,62.940587771003706,3000.0,0
Q2GA,5,3199.1069440366236,2.257440899964422,97.21315810134877,114.85517058978212,194.15962262705455,27.532115087886275,49.679774195717485,3000.0,0
Q2GA,6,3187.3181514803628,2.2837454001419246,94.59006213036054,121.87188752695644,168.98276328299062,14.41663523294519,55.248366267552356,3000.0,0
Q2GA,7,3204.3723352867505,2.044162899721414,97.21315810134877,132.39868625403938,184.8949390702373,27.532115087886275,51.53504745793043,3000.0,0
Q2GA,8,3327.8059244333767,2.107319800183177,112.26012446420845,159.22214742377477,184.21086513116626,102.7669469021847,84.30009804572197,3000.0,0
Q2GA,9,3301.915496443238,2.0388361997902393,106.26804081724278,127.11323948864936,226.3046648201269,103.35299492035577,62.033576303641,3000.0,0
